TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SGPS3;1,32;;-0,15;0,11;0,02;24,22;-7,26;-31,4;-0,63;-8,26;-7,63;1,32;0,05;0,95;-0,04;1,07;-75;-15,48;-6,85;0,21;0,79;0,49;-5,73;;282303,23;12,12;-9,09;0;66000000
SHOW3;2,34;;-10,06;1,11;0,26;28,24;7,59;-5,17;6,86;1,96;-4,9;-0,8;0,52;2,13;-0,77;1,23;-11,07;-2,58;7,75;0,23;0,76;0,5;-47,6;;542187,73;2,1;-0,23;0,12;157745551,9
SHUL3;111,89;0,18;159,73;38,39;17,29;25,25;17,48;12,53;114,47;52,5;1,03;0,35;20,01;41,13;-49,33;2,84;24,03;10,83;17,77;0,45;0,55;0,86;24,09;52,2;;2,91;0,7;6,34;17979253774
SHUL4;4,37;4,95;6,24;1,5;0,68;25,25;17,48;12,53;4,47;52,5;1,03;0,35;0,78;1,61;-1,93;2,84;24,03;10,83;17,77;0,45;0,55;0,86;24,09;52,2;2116151,4;2,91;0,7;0,25;17979253774
SIMH3;7,28;8,98;11,58;2,2;0,1;32,54;23;2,5;1,26;6,52;5,27;9,22;0,29;0,45;-0,17;2,4;19,03;0,89;9,46;0,05;0,91;0,36;16,28;;25946382,17;3,3;0,63;-0,49;6103609578
SLCE3;51,78;5,36;8,24;2,3;0,73;33,97;28;14,52;4,27;5,44;1,17;0,63;1,2;3,82;-1,37;1,68;27,88;8,84;21,67;0,32;0,66;0,61;30,68;113,71;64697826,13;22,54;6,28;0,33;10999242176
SLED3;6,93;;0,44;-0,18;0,49;43,87;290,32;184,23;0,28;0,39;0,32;;0,81;-0,63;-0,69;0,27;-41,73;111,56;-85,85;-2,67;3,67;0,61;-44,82;;6660,8;-37,97;15,84;0;15411570,87
SLED4;1,2;;0,08;-0,03;0,08;43,87;290,32;184,23;0,05;0,39;0,32;;0,14;-0,11;-0,12;0,27;-41,73;111,56;-85,85;-2,67;3,67;0,61;-44,82;;68729,1;-37,97;15,84;0;15411570,87
SMFT3;16,06;;-34,15;2,27;0,85;26,56;2,24;-10,51;160,17;166,36;6,19;0,09;3,59;5,42;-1,2;2,14;-6,65;-2,48;0,77;0,37;0,62;0,24;21,63;;17312958,1;7,08;-0,47;0,61;9415051161
SMLS3;22,4;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,1;4,21;18,78;-2,54;1,1;37,96;9,43;24,47;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2781160547
